축제번호,축제명,소분류,개최장소,축제 기간,축제내용,주관기관,지역 코드
F0468,2020 청원생명축제,생명,오창읍 미래지농촌테마공원 일원,9,○ 농축산물 판매| 주요공연 등,청원생명축제추진위원회,K01
F0469,가드닝 페스티벌,문화,문암생태공원,5,○ 정원 전시| 시민참여 정원프로그램 운영 등,청주시 공원조성과,K01
F0470,제14회 세종대왕과 초정약수축제,역사,초정문화공원 일원,5,○ 어가행차 재현,청주문화원,K01
F0471,청남대 재즈토닉 페스티벌,문화,청남대,5,○ 재즈아티스트 공연| 타로아트 전시| 지역출신 재즈밴들 경연,㈜청주방송,K01
F0472,청주문화재야행,역사,청주 성안길 일원,8,○ 철당간 등 문화재를 테마로한 공연| 전시| 체험프로그램 운영,청주문화산업진흥재단,K01
F0473,청주읍성큰잔치,문화,청주중앙공원 일원,9,○ 시민퍼레이드| 성탈환퍼포먼스| 마당극| 학술대회 등,청주문화원,K01
F0474,2020 직지코리아 페스티벌,문화,청주예술의전당/청주고인쇄박물관,9,○ 유네스코 공식행사(직지상)| 전시| 학술| 체험 등,행사추진위원회,K02
F0475,우륵문화제,문화,충주공설운동장,9,문화행사| 공연| 전시|대회,우륵문화제추진위원회,K02
F0476,충주농산물한마당축제,먹거리,충주세계무술공원 일원,10,○ 키즈존| 매직&버블쇼| 농산물홍보관○ 사과백일장| 웅변대회| 요리왕 경연대회○ 인삼 및 군고구마장터| 농산물 시식| 떡나눔 행사○ 농산물 반값 할인이벤트| 와유바유체험| 화합의장 등,충주농산물한마당축제추진위원회,K02
F0477,충주호 꽃축제,꽃놀이,충주댐 물 문화관 광장 일원,4,○ 충주호벚꽃길 걷기대회○ 사생대회| 문화공연| 노래자랑 등,(사)충주시사회단체연합회,K02
F0478,충주호수축제,자연,탄금호 국제조정경기장,8,○ 레인보우페스티벌| 빛페스티벌○ 대형워터슬라이드| 물이벤트(물총|물대포|물싸움 등)○ 무동력 수상놀이 등,(재)충주중원문화재단,K02
